number,priority,short_description,severity,sys_created_on,incident_state,u_requested_by.location,u_requested_by.u_region,u_requested_by.u_country_details.name,u_requested_by.location.name,u_requested_by.city
INC4148875,2 - High,COMPASS - TAK-279-PsA-3001 and TAK-279-PsA-3002 - Data Discrpancy,3 - Low,3/4/2026 18:18,In Progress,USA - MA - Virtual,AMERICAS,United States of America,USA - MA - Virtual,Massachusetts - Virtual
INC4150633,2 - High,DIS - BOL Issue,3 - Low,3/5/2026 18:43,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4153249,2 - High,DEP - Donor Account issue,3 - Low,3/7/2026 20:33,Resolved,USA - ID - Nampa,AMERICAS,United States of America,USA - ID - Nampa,Nampa
INC4153658,1 - Critical,Alarm detected in supervision PSAC283 - PSAC283 : No response to SNMP polling and Ping / -,3 - Low,3/8/2026 6:19,In Progress,Global,AMERICAS,United States of America,Global,
INC4154571,2 - High,Interface 'Tunnel1 · maa2-vpn.z​scloud.net ZEN node' has state is Down.  ,3 - Low,3/9/2026 8:13,In Progress,IND - Maharashtra - Virtual,ASIA,India,IND - Maharashtra - Virtual,Maharashtra - Virtual
INC4154821,2 - High,"On takedamed.pl, the registration form is currently not working. We were informed that the proxy was restarted and is reported to be live and healthy; however, ",3 - Low,3/9/2026 12:47,In Progress,BGR - Sofia,EMEAR,Bulgaria,BGR - Sofia,Sofia
INC4157595,2 - High,Global | Various Sites | Fortigate Firewall Estate – Admin Interface Exposure and Suspicious Login Activity,3 - Low,3/11/2026 0:29,In Progress,USA - MA - Cambridge - Kendall Square - 650,AMERICAS,United States of America,USA - MA - Cambridge - Kendall Square - 650,Cambridge
INC4158025,2 - High,DIS - DXT - Nomogram update,3 - Low,3/11/2026 7:21,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4161122,2 - High,DPS - Unable to apply coupon ,3 - Low,3/13/2026 4:24,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4162218,2 - High,Network Node SSW79-R02-07-01-C7706 is Down,3 - Low,3/13/2026 20:26,Resolved,,,,,
INC4164173,2 - High,Adobe Acrobat Pro - Frequent application crashes,3 - Low,3/16/2026 5:50,Resolved,JPN - Remote,ASIA,Japan,JPN - Remote,"Chiyoda Ward, Tokyo"
INC4164385,2 - High,\VBU-CSMR-DATABRICKS-NOTEBOOK-CALLBACK-MED\\010-SHOW-VBU-CSMR-DATABRICKS-JOB-STATUS has failed,3 - Low,3/16/2026 9:41,Resolved,,AMERICAS,United States of America,,
INC4165991,2 - High,DIS - DXT - Plasma type update,3 - Low,3/17/2026 7:56,Resolved,USA - MN - Waite Park,AMERICAS,United States of America,USA - MN - Waite Park,Waite Park
INC4166071,2 - High,Network issue,3 - Low,3/17/2026 9:22,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4166512,2 - High,Alarm detected in supervision PCHI1408 - PCHI1408 : No response to SNMP polling and Ping / -,3 - Low,3/17/2026 15:56,In Progress,Global,AMERICAS,United States of America,Global,
INC4166708,2 - High,US | Lexington & Cambridge | R&D  - Laboratory Instruments are inaccessible,3 - Low,3/17/2026 18:14,Resolved,USA - MA - Cambridge,AMERICAS,United States of America,USA - MA - Cambridge,Cambridge
INC4166892,2 - High,Network Node SSW79-R02-06-A9372TX is Down,3 - Low,3/17/2026 20:13,Resolved,,,,,
INC4166897,2 - High,Network Node SSW79-R02-07-A9372TX-MGMT.ntwk.o is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166898,2 - High,Network Node SSW79-R02-04-B9372TX is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166899,2 - High,Network Node SSW79-R02-04-A9372PX is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166900,2 - High,Network Node SSW79-R02-04-A9372TX is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166901,2 - High,Network Node 10.112.253.209 is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166902,2 - High,Network Node SSW79-R02-06-B9372TX is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166903,2 - High,Network Node 10.112.253.208 is Down,3 - Low,3/17/2026 20:15,Resolved,,,,,
INC4166998,2 - High,Exception Code need to be Voided  ,3 - Low,3/17/2026 21:05,Resolved,USA - IN - Greenwood,AMERICAS,United States of America,USA - IN - Greenwood,Greenwood
INC4167047,2 - High,\CDP-KOKORO-MDM-RAW-TO-LAND\020-CDP-KOKORO-MDM-REGASAS-RAW-LND-HCO\\030-MONITOR-DATABRICKS-RUN has failed,3 - Low,3/17/2026 21:37,Resolved,,AMERICAS,United States of America,,
INC4167082,2 - High,"Network access to file server and multiple servers offline in QC Labs and bldg:300USLXILABXSQL001, USQASLEPIDE001,USBNNLEPIDE900,USBNNLEPIDE800,USLXIDXRSQL001",3 - Low,3/17/2026 21:59,Resolved,USA - MA - Lexington - BIO OPS,AMERICAS,United States of America,USA - MA - Lexington - BIO OPS,Lexington
INC4167776,2 - High,DIS - EOD - Plasma type update,3 - Low,3/18/2026 9:09,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167783,2 - High,DIS - DXT - Plasma type update,3 - Low,3/18/2026 9:23,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167786,2 - High,DIS - EOD - Plasma type update,3 - Low,3/18/2026 9:28,Resolved,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City
INC4167796,2 - High,\GMSGQMI-CMO-LAMBDA-JOBS\030-LAKE-LAMBDA-CMO-TAKEDA-SAP\\030-RUN-LAKE-LAMBDA-CMO-TAKEDA-SAP has failed,3 - Low,3/18/2026 9:38,Resolved,,AMERICAS,United States of America,,
INC4167798,2 - High,\GMSGQEHS-MOC-LAMBDA-JOBS\030-LAKE-LAMBDA-MOC-TASKS\\030-RUN-LAKE-LAMBDA-GMSGQEHS-MOC-TASKS has failed,3 - Low,3/18/2026 9:39,Resolved,,AMERICAS,United States of America,,
