number,priority,short_description,severity,sys_created_on,incident_state,u_requested_by.location,u_requested_by.u_region,u_requested_by.u_country_details.name,u_requested_by.location.name,u_requested_by.city,Latitude,Longitude
INC4148875,2 - High,COMPASS - TAK-279-PsA-3001 and TAK-279-PsA-3002 - Data Discrpancy,3 - Low,3/4/2026 18:18,In Progress,USA - MA - Virtual,AMERICAS,United States of America,USA - MA - Virtual,Massachusetts - Virtual,42.4072,71.0589
INC4150633,2 - High,DIS - BOL Issue,3 - Low,3/5/2026 18:43,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4153249,2 - High,DEP - Donor Account issue,3 - Low,3/7/2026 20:33,In Progress,USA - ID - Nampa,AMERICAS,United States of America,USA - ID - Nampa,Nampa,43.5788,116.5598
INC4158025,2 - High,DIS - DXT - Nomogram update,3 - Low,3/11/2026 7:21,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4161122,2 - High,DPS - Unable to apply coupon ,3 - Low,3/13/2026 4:24,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4164173,2 - High,Adobe Acrobat Pro - Frequent application crashes,3 - Low,3/16/2026 5:50,In Progress,JPN - Remote,ASIA,Japan,JPN - Remote,"Chiyoda Ward, Tokyo",35.6764,139.65
INC4165991,2 - High,DIS - DXT - Plasma type update,3 - Low,3/17/2026 7:56,In Progress,USA - MN - Waite Park,AMERICAS,United States of America,USA - MN - Waite Park,Waite Park,45.5572,94.2242
INC4166708,2 - High,US | Lexington & Cambridge | R&D  - Laboratory Instruments are inaccessible,3 - Low,3/17/2026 18:14,In Progress,USA - MA - Cambridge,AMERICAS,United States of America,USA - MA - Cambridge,Cambridge,52.1951,0.1313
INC4166998,2 - High,Exception Code need to be Voided  ,3 - Low,3/17/2026 21:05,In Progress,USA - IN - Greenwood,AMERICAS,United States of America,USA - IN - Greenwood,Greenwood,39.6137,86.1097
INC4167776,2 - High,DIS - EOD - Plasma type update,3 - Low,3/18/2026 9:09,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4167783,2 - High,DIS - DXT - Plasma type update,3 - Low,3/18/2026 9:23,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4167786,2 - High,DIS - EOD - Plasma type update,3 - Low,3/18/2026 9:28,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4167814,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/18/2026 9:43,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4167816,2 - High,DIS - EOD - Plasma type update ,3 - Low,3/18/2026 9:45,In Progress,PHL - Philippines Remote,ASIA,Philippines,PHL - Philippines Remote,Makati City,14.5606,121.0255
INC4168630,2 - High,DIS - DXT - Disconnect pin,3 - Low,3/18/2026 20:48,In Progress,USA - WI - Milwaukee,AMERICAS,United States of America,USA - WI - Milwaukee,Milwaukee,43.041,87.9097
